Breakpoint 1 at 0x411854
Starting program: /challenge/integration-cimg-screenshot-win < exploit.cimg

Breakpoint 1, 0x0000000000411854 in handle_1337 ()
Dump of assembler code for function win:
   0x0000000000401576 <+0>:	endbr64
   0x000000000040ccd2 <+46940>:	xor    eax,eax
   0x000000000040ccd4 <+46942>:	call   0x401250 <open@plt>
   0x000000000040ccd9 <+46947>:	mov    edi,eax
   0x000000000040ccdb <+46949>:	test   eax,eax
   0x000000000040ccdd <+46951>:	jns    0x40cd13 <win+47005>
   0x000000000040ccdf <+46953>:	call   0x401180 <__errno_location@plt>
   0x000000000040cce4 <+46958>:	mov    edi,DWORD PTR [rax]
   0x000000000040cce6 <+46960>:	call   0x401280 <strerror@plt>
   0x000000000040cceb <+46965>:	lea    rsi,[rip+0x5318]        # 0x41200a
   0x000000000040ccf2 <+46972>:	mov    edi,0x1
   0x000000000040ccf7 <+46977>:	mov    rdx,rax
   0x000000000040ccfa <+46980>:	xor    eax,eax
   0x000000000040ccfc <+46982>:	call   0x401230 <__printf_chk@plt>
   0x000000000040cd01 <+46987>:	call   0x4011e0 <geteuid@plt>
   0x000000000040cd06 <+46992>:	test   eax,eax
   0x000000000040cd08 <+46994>:	je     0x4015d9 <win+99>
   0x000000000040cd0e <+47000>:	jmp    0x4015c1 <win+75>
   0x000000000040cd13 <+47005>:	mov    edx,0x100
   0x000000000040cd18 <+47010>:	mov    rsi,rbp
   0x000000000040cd1b <+47013>:	call   0x401200 <read@plt>
   0x000000000040cd20 <+47018>:	test   eax,eax
   0x000000000040cd22 <+47020>:	jg     0x40cd4e <win+47064>
   0x000000000040cd24 <+47022>:	call   0x401180 <__errno_location@plt>
   0x000000000040cd29 <+47027>:	mov    edi,DWORD PTR [rax]
   0x000000000040cd2b <+47029>:	call   0x401280 <strerror@plt>
   0x000000000040cd30 <+47034>:	mov    edi,0x1
   0x000000000040cd35 <+47039>:	lea    rsi,[rip+0x536d]        # 0x4120a9
   0x000000000040cd3c <+47046>:	mov    rdx,rax
   0x000000000040cd3f <+47049>:	xor    eax,eax
   0x000000000040cd41 <+47051>:	call   0x401230 <__printf_chk@plt>
   0x000000000040cd46 <+47056>:	or     edi,0xffffffff
   0x000000000040cd49 <+47059>:	call   0x401260 <exit@plt>
   0x000000000040cd4e <+47064>:	movsxd rdx,eax
   0x000000000040cd51 <+47067>:	mov    rsi,rbp
   0x000000000040cd54 <+47070>:	mov    edi,0x1
   0x000000000040cd59 <+47075>:	call   0x4011a0 <write@plt>
   0x000000000040cd5e <+47080>:	lea    rdi,[rip+0x53ef]        # 0x412154
   0x000000000040cd65 <+47087>:	call   0x401190 <puts@plt>
   0x000000000040cd6a <+47092>:	lea    rdi,[rip+0x5293]        # 0x412004
   0x000000000040cd71 <+47099>:	xor    esi,esi
   0x000000000040cd73 <+47101>:	xor    eax,eax
   0x000000000040cd75 <+47103>:	call   0x401250 <open@plt>
   0x000000000040cd7a <+47108>:	mov    edi,eax
   0x000000000040cd7c <+47110>:	test   eax,eax
   0x000000000040cd7e <+47112>:	jns    0x40cdb4 <win+47166>
   0x000000000040cd80 <+47114>:	call   0x401180 <__errno_location@plt>
   0x000000000040cd85 <+47119>:	mov    edi,DWORD PTR [rax]
   0x000000000040cd87 <+47121>:	call   0x401280 <strerror@plt>
   0x000000000040cd8c <+47126>:	lea    rsi,[rip+0x5277]        # 0x41200a
   0x000000000040cd93 <+47133>:	mov    edi,0x1
   0x000000000040cd98 <+47138>:	mov    rdx,rax
   0x000000000040cd9b <+47141>:	xor    eax,eax
   0x000000000040cd9d <+47143>:	call   0x401230 <__printf_chk@plt>
   0x000000000040cda2 <+47148>:	call   0x4011e0 <geteuid@plt>
   0x000000000040cda7 <+47153>:	test   eax,eax
   0x000000000040cda9 <+47155>:	je     0x4015d9 <win+99>
   0x000000000040cdaf <+47161>:	jmp    0x4015c1 <win+75>
   0x000000000040cdb4 <+47166>:	mov    edx,0x100
   0x000000000040cdb9 <+47171>:	mov    rsi,rbp
   0x000000000040cdbc <+47174>:	call   0x401200 <read@plt>
   0x000000000040cdc1 <+47179>:	test   eax,eax
   0x000000000040cdc3 <+47181>:	jg     0x40cdef <win+47225>
   0x000000000040cdc5 <+47183>:	call   0x401180 <__errno_location@plt>
   0x000000000040cdca <+47188>:	mov    edi,DWORD PTR [rax]
   0x000000000040cdcc <+47190>:	call   0x401280 <strerror@plt>
   0x000000000040cdd1 <+47195>:	mov    edi,0x1
   0x000000000040cdd6 <+47200>:	lea    rsi,[rip+0x52cc]        # 0x4120a9
   0x000000000040cddd <+47207>:	mov    rdx,rax
   0x000000000040cde0 <+47210>:	xor    eax,eax
   0x000000000040cde2 <+47212>:	call   0x401230 <__printf_chk@plt>
   0x000000000040cde7 <+47217>:	or     edi,0xffffffff
   0x000000000040cdea <+47220>:	call   0x401260 <exit@plt>
   0x000000000040cdef <+47225>:	movsxd rdx,eax
   0x000000000040cdf2 <+47228>:	mov    rsi,rbp
   0x000000000040cdf5 <+47231>:	mov    edi,0x1
   0x000000000040cdfa <+47236>:	call   0x4011a0 <write@plt>
   0x000000000040cdff <+47241>:	lea    rdi,[rip+0x534e]        # 0x412154
   0x000000000040ce06 <+47248>:	call   0x401190 <puts@plt>
   0x000000000040ce0b <+47253>:	lea    rdi,[rip+0x51f2]        # 0x412004
   0x000000000040ce12 <+47260>:	xor    esi,esi
   0x000000000040ce14 <+47262>:	xor    eax,eax
   0x000000000040ce16 <+47264>:	call   0x401250 <open@plt>
   0x000000000040ce1b <+47269>:	mov    edi,eax
   0x000000000040ce1d <+47271>:	test   eax,eax
   0x000000000040ce1f <+47273>:	jns    0x40ce55 <win+47327>
   0x000000000040ce21 <+47275>:	call   0x401180 <__errno_location@plt>
   0x000000000040ce26 <+47280>:	mov    edi,DWORD PTR [rax]
   0x000000000040ce28 <+47282>:	call   0x401280 <strerror@plt>
   0x000000000040ce2d <+47287>:	lea    rsi,[rip+0x51d6]        # 0x41200a
   0x000000000040ce34 <+47294>:	mov    edi,0x1
   0x000000000040ce39 <+47299>:	mov    rdx,rax
   0x000000000040ce3c <+47302>:	xor    eax,eax
   0x000000000040ce3e <+47304>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ce43 <+47309>:	call   0x4011e0 <geteuid@plt>
   0x000000000040ce48 <+47314>:	test   eax,eax
   0x000000000040ce4a <+47316>:	je     0x4015d9 <win+99>
   0x000000000040ce50 <+47322>:	jmp    0x4015c1 <win+75>
   0x000000000040ce55 <+47327>:	mov    edx,0x100
   0x000000000040ce5a <+47332>:	mov    rsi,rbp
   0x000000000040ce5d <+47335>:	call   0x401200 <read@plt>
   0x000000000040ce62 <+47340>:	test   eax,eax
   0x000000000040ce64 <+47342>:	jg     0x40ce90 <win+47386>
   0x000000000040ce66 <+47344>:	call   0x401180 <__errno_location@plt>
   0x000000000040ce6b <+47349>:	mov    edi,DWORD PTR [rax]
   0x000000000040ce6d <+47351>:	call   0x401280 <strerror@plt>
   0x000000000040ce72 <+47356>:	mov    edi,0x1
   0x000000000040ce77 <+47361>:	lea    rsi,[rip+0x522b]        # 0x4120a9
   0x000000000040ce7e <+47368>:	mov    rdx,rax
   0x000000000040ce81 <+47371>:	xor    eax,eax
   0x000000000040ce83 <+47373>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ce88 <+47378>:	or     edi,0xffffffff
   0x000000000040ce8b <+47381>:	call   0x401260 <exit@plt>
   0x000000000040ce90 <+47386>:	movsxd rdx,eax
   0x000000000040ce93 <+47389>:	mov    rsi,rbp
   0x000000000040ce96 <+47392>:	mov    edi,0x1
   0x000000000040ce9b <+47397>:	call   0x4011a0 <write@plt>
   0x000000000040cea0 <+47402>:	lea    rdi,[rip+0x52ad]        # 0x412154
   0x000000000040cea7 <+47409>:	call   0x401190 <puts@plt>
   0x000000000040ceac <+47414>:	lea    rdi,[rip+0x5151]        # 0x412004
   0x000000000040ceb3 <+47421>:	xor    esi,esi
   0x000000000040ceb5 <+47423>:	xor    eax,eax
   0x000000000040ceb7 <+47425>:	call   0x401250 <open@plt>
   0x000000000040cebc <+47430>:	mov    edi,eax
   0x000000000040cebe <+47432>:	test   eax,eax
   0x000000000040cec0 <+47434>:	jns    0x40cef6 <win+47488>
   0x000000000040cec2 <+47436>:	call   0x401180 <__errno_location@plt>
   0x000000000040cec7 <+47441>:	mov    edi,DWORD PTR [rax]
   0x000000000040cec9 <+47443>:	call   0x401280 <strerror@plt>
   0x000000000040cece <+47448>:	lea    rsi,[rip+0x5135]        # 0x41200a
   0x000000000040ced5 <+47455>:	mov    edi,0x1
   0x000000000040ceda <+47460>:	mov    rdx,rax
   0x000000000040cedd <+47463>:	xor    eax,eax
   0x000000000040cedf <+47465>:	call   0x401230 <__printf_chk@plt>
   0x000000000040cee4 <+47470>:	call   0x4011e0 <geteuid@plt>
   0x000000000040cee9 <+47475>:	test   eax,eax
   0x000000000040ceeb <+47477>:	je     0x4015d9 <win+99>
   0x000000000040cef1 <+47483>:	jmp    0x4015c1 <win+75>
   0x000000000040cef6 <+47488>:	mov    edx,0x100
   0x000000000040cefb <+47493>:	mov    rsi,rbp
   0x000000000040cefe <+47496>:	call   0x401200 <read@plt>
   0x000000000040cf03 <+47501>:	test   eax,eax
   0x000000000040cf05 <+47503>:	jg     0x40cf31 <win+47547>
   0x000000000040cf07 <+47505>:	call   0x401180 <__errno_location@plt>
   0x000000000040cf0c <+47510>:	mov    edi,DWORD PTR [rax]
   0x000000000040cf0e <+47512>:	call   0x401280 <strerror@plt>
   0x000000000040cf13 <+47517>:	mov    edi,0x1
   0x000000000040cf18 <+47522>:	lea    rsi,[rip+0x518a]        # 0x4120a9
   0x000000000040cf1f <+47529>:	mov    rdx,rax
   0x000000000040cf22 <+47532>:	xor    eax,eax
   0x000000000040cf24 <+47534>:	call   0x401230 <__printf_chk@plt>
   0x000000000040cf29 <+47539>:	or     edi,0xffffffff
   0x000000000040cf2c <+47542>:	call   0x401260 <exit@plt>
   0x000000000040cf31 <+47547>:	movsxd rdx,eax
   0x000000000040cf34 <+47550>:	mov    rsi,rbp
   0x000000000040cf37 <+47553>:	mov    edi,0x1
   0x000000000040cf3c <+47558>:	call   0x4011a0 <write@plt>
   0x000000000040cf41 <+47563>:	lea    rdi,[rip+0x520c]        # 0x412154
   0x000000000040cf48 <+47570>:	call   0x401190 <puts@plt>
   0x000000000040cf4d <+47575>:	lea    rdi,[rip+0x50b0]        # 0x412004
   0x000000000040cf54 <+47582>:	xor    esi,esi
   0x000000000040cf56 <+47584>:	xor    eax,eax
   0x000000000040cf58 <+47586>:	call   0x401250 <open@plt>
   0x000000000040cf5d <+47591>:	mov    edi,eax
   0x000000000040cf5f <+47593>:	test   eax,eax
   0x000000000040cf61 <+47595>:	jns    0x40cf97 <win+47649>
   0x000000000040cf63 <+47597>:	call   0x401180 <__errno_location@plt>
   0x000000000040cf68 <+47602>:	mov    edi,DWORD PTR [rax]
   0x000000000040cf6a <+47604>:	call   0x401280 <strerror@plt>
   0x000000000040cf6f <+47609>:	lea    rsi,[rip+0x5094]        # 0x41200a
   0x000000000040cf76 <+47616>:	mov    edi,0x1
   0x000000000040cf7b <+47621>:	mov    rdx,rax
   0x000000000040cf7e <+47624>:	xor    eax,eax
   0x000000000040cf80 <+47626>:	call   0x401230 <__printf_chk@plt>
   0x000000000040cf85 <+47631>:	call   0x4011e0 <geteuid@plt>
   0x000000000040cf8a <+47636>:	test   eax,eax
   0x000000000040cf8c <+47638>:	je     0x4015d9 <win+99>
   0x000000000040cf92 <+47644>:	jmp    0x4015c1 <win+75>
   0x000000000040cf97 <+47649>:	mov    edx,0x100
   0x000000000040cf9c <+47654>:	mov    rsi,rbp
   0x000000000040cf9f <+47657>:	call   0x401200 <read@plt>
   0x000000000040cfa4 <+47662>:	test   eax,eax
   0x000000000040cfa6 <+47664>:	jg     0x40cfd2 <win+47708>
   0x000000000040cfa8 <+47666>:	call   0x401180 <__errno_location@plt>
   0x000000000040cfad <+47671>:	mov    edi,DWORD PTR [rax]
   0x000000000040cfaf <+47673>:	call   0x401280 <strerror@plt>
   0x000000000040cfb4 <+47678>:	mov    edi,0x1
   0x000000000040cfb9 <+47683>:	lea    rsi,[rip+0x50e9]        # 0x4120a9
   0x000000000040cfc0 <+47690>:	mov    rdx,rax
   0x000000000040cfc3 <+47693>:	xor    eax,eax
   0x000000000040cfc5 <+47695>:	call   0x401230 <__printf_chk@plt>
   0x000000000040cfca <+47700>:	or     edi,0xffffffff
   0x000000000040cfcd <+47703>:	call   0x401260 <exit@plt>
   0x000000000040cfd2 <+47708>:	movsxd rdx,eax
   0x000000000040cfd5 <+47711>:	mov    rsi,rbp
   0x000000000040cfd8 <+47714>:	mov    edi,0x1
   0x000000000040cfdd <+47719>:	call   0x4011a0 <write@plt>
   0x000000000040cfe2 <+47724>:	lea    rdi,[rip+0x516b]        # 0x412154
   0x000000000040cfe9 <+47731>:	call   0x401190 <puts@plt>
   0x000000000040cfee <+47736>:	lea    rdi,[rip+0x500f]        # 0x412004
   0x000000000040cff5 <+47743>:	xor    esi,esi
   0x000000000040cff7 <+47745>:	xor    eax,eax
   0x000000000040cff9 <+47747>:	call   0x401250 <open@plt>
   0x000000000040cffe <+47752>:	mov    edi,eax
   0x000000000040d000 <+47754>:	test   eax,eax
   0x000000000040d002 <+47756>:	jns    0x40d038 <win+47810>
   0x000000000040d004 <+47758>:	call   0x401180 <__errno_location@plt>
   0x000000000040d009 <+47763>:	mov    edi,DWORD PTR [rax]
   0x000000000040d00b <+47765>:	call   0x401280 <strerror@plt>
   0x000000000040d010 <+47770>:	lea    rsi,[rip+0x4ff3]        # 0x41200a
   0x000000000040d017 <+47777>:	mov    edi,0x1
   0x000000000040d01c <+47782>:	mov    rdx,rax
   0x000000000040d01f <+47785>:	xor    eax,eax
   0x000000000040d021 <+47787>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d026 <+47792>:	call   0x4011e0 <geteuid@plt>
   0x000000000040d02b <+47797>:	test   eax,eax
   0x000000000040d02d <+47799>:	je     0x4015d9 <win+99>
   0x000000000040d033 <+47805>:	jmp    0x4015c1 <win+75>
   0x000000000040d038 <+47810>:	mov    edx,0x100
   0x000000000040d03d <+47815>:	mov    rsi,rbp
   0x000000000040d040 <+47818>:	call   0x401200 <read@plt>
   0x000000000040d045 <+47823>:	test   eax,eax
   0x000000000040d047 <+47825>:	jg     0x40d073 <win+47869>
   0x000000000040d049 <+47827>:	call   0x401180 <__errno_location@plt>
   0x000000000040d04e <+47832>:	mov    edi,DWORD PTR [rax]
   0x000000000040d050 <+47834>:	call   0x401280 <strerror@plt>
   0x000000000040d055 <+47839>:	mov    edi,0x1
   0x000000000040d05a <+47844>:	lea    rsi,[rip+0x5048]        # 0x4120a9
   0x000000000040d061 <+47851>:	mov    rdx,rax
   0x000000000040d064 <+47854>:	xor    eax,eax
   0x000000000040d066 <+47856>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d06b <+47861>:	or     edi,0xffffffff
   0x000000000040d06e <+47864>:	call   0x401260 <exit@plt>
   0x000000000040d073 <+47869>:	movsxd rdx,eax
   0x000000000040d076 <+47872>:	mov    rsi,rbp
   0x000000000040d079 <+47875>:	mov    edi,0x1
   0x000000000040d07e <+47880>:	call   0x4011a0 <write@plt>
   0x000000000040d083 <+47885>:	lea    rdi,[rip+0x50ca]        # 0x412154
   0x000000000040d08a <+47892>:	call   0x401190 <puts@plt>
   0x000000000040d08f <+47897>:	lea    rdi,[rip+0x4f6e]        # 0x412004
   0x000000000040d096 <+47904>:	xor    esi,esi
   0x000000000040d098 <+47906>:	xor    eax,eax
   0x000000000040d09a <+47908>:	call   0x401250 <open@plt>
   0x000000000040d09f <+47913>:	mov    edi,eax
   0x000000000040d0a1 <+47915>:	test   eax,eax
   0x000000000040d0a3 <+47917>:	jns    0x40d0d9 <win+47971>
   0x000000000040d0a5 <+47919>:	call   0x401180 <__errno_location@plt>
   0x000000000040d0aa <+47924>:	mov    edi,DWORD PTR [rax]
   0x000000000040d0ac <+47926>:	call   0x401280 <strerror@plt>
   0x000000000040d0b1 <+47931>:	lea    rsi,[rip+0x4f52]        # 0x41200a
   0x000000000040d0b8 <+47938>:	mov    edi,0x1
   0x000000000040d0bd <+47943>:	mov    rdx,rax
   0x000000000040d0c0 <+47946>:	xor    eax,eax
   0x000000000040d0c2 <+47948>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d0c7 <+47953>:	call   0x4011e0 <geteuid@plt>
   0x000000000040d0cc <+47958>:	test   eax,eax
   0x000000000040d0ce <+47960>:	je     0x4015d9 <win+99>
   0x000000000040d0d4 <+47966>:	jmp    0x4015c1 <win+75>
   0x000000000040d0d9 <+47971>:	mov    edx,0x100
   0x000000000040d0de <+47976>:	mov    rsi,rbp
   0x000000000040d0e1 <+47979>:	call   0x401200 <read@plt>
   0x000000000040d0e6 <+47984>:	test   eax,eax
   0x000000000040d0e8 <+47986>:	jg     0x40d114 <win+48030>
   0x000000000040d0ea <+47988>:	call   0x401180 <__errno_location@plt>
   0x000000000040d0ef <+47993>:	mov    edi,DWORD PTR [rax]
   0x000000000040d0f1 <+47995>:	call   0x401280 <strerror@plt>
   0x000000000040d0f6 <+48000>:	mov    edi,0x1
   0x000000000040d0fb <+48005>:	lea    rsi,[rip+0x4fa7]        # 0x4120a9
   0x000000000040d102 <+48012>:	mov    rdx,rax
   0x000000000040d105 <+48015>:	xor    eax,eax
   0x000000000040d107 <+48017>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d10c <+48022>:	or     edi,0xffffffff
   0x000000000040d10f <+48025>:	call   0x401260 <exit@plt>
   0x000000000040d114 <+48030>:	movsxd rdx,eax
   0x000000000040d117 <+48033>:	mov    rsi,rbp
   0x000000000040d11a <+48036>:	mov    edi,0x1
   0x000000000040d11f <+48041>:	call   0x4011a0 <write@plt>
   0x000000000040d124 <+48046>:	lea    rdi,[rip+0x5029]        # 0x412154
   0x000000000040d12b <+48053>:	call   0x401190 <puts@plt>
   0x000000000040d130 <+48058>:	lea    rdi,[rip+0x4ecd]        # 0x412004
   0x000000000040d137 <+48065>:	xor    esi,esi
   0x000000000040d139 <+48067>:	xor    eax,eax
   0x000000000040d13b <+48069>:	call   0x401250 <open@plt>
   0x000000000040d140 <+48074>:	mov    edi,eax
   0x000000000040d142 <+48076>:	test   eax,eax
   0x000000000040d144 <+48078>:	jns    0x40d17a <win+48132>
   0x000000000040d146 <+48080>:	call   0x401180 <__errno_location@plt>
   0x000000000040d14b <+48085>:	mov    edi,DWORD PTR [rax]
   0x000000000040d14d <+48087>:	call   0x401280 <strerror@plt>
   0x000000000040d152 <+48092>:	lea    rsi,[rip+0x4eb1]        # 0x41200a
   0x000000000040d159 <+48099>:	mov    edi,0x1
   0x000000000040d15e <+48104>:	mov    rdx,rax
   0x000000000040d161 <+48107>:	xor    eax,eax
   0x000000000040d163 <+48109>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d168 <+48114>:	call   0x4011e0 <geteuid@plt>
   0x000000000040d16d <+48119>:	test   eax,eax
   0x000000000040d16f <+48121>:	je     0x4015d9 <win+99>
   0x000000000040d175 <+48127>:	jmp    0x4015c1 <win+75>
   0x000000000040d17a <+48132>:	mov    edx,0x100
   0x000000000040d17f <+48137>:	mov    rsi,rbp
   0x000000000040d182 <+48140>:	call   0x401200 <read@plt>
   0x000000000040d187 <+48145>:	test   eax,eax
   0x000000000040d189 <+48147>:	jg     0x40d1b5 <win+48191>
   0x000000000040d18b <+48149>:	call   0x401180 <__errno_location@plt>
   0x000000000040d190 <+48154>:	mov    edi,DWORD PTR [rax]
   0x000000000040d192 <+48156>:	call   0x401280 <strerror@plt>
   0x000000000040d197 <+48161>:	mov    edi,0x1
   0x000000000040d19c <+48166>:	lea    rsi,[rip+0x4f06]        # 0x4120a9
   0x000000000040d1a3 <+48173>:	mov    rdx,rax
   0x000000000040d1a6 <+48176>:	xor    eax,eax
   0x000000000040d1a8 <+48178>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d1ad <+48183>:	or     edi,0xffffffff
   0x000000000040d1b0 <+48186>:	call   0x401260 <exit@plt>
   0x000000000040d1b5 <+48191>:	movsxd rdx,eax
   0x000000000040d1b8 <+48194>:	mov    rsi,rbp
   0x000000000040d1bb <+48197>:	mov    edi,0x1
   0x000000000040d1c0 <+48202>:	call   0x4011a0 <write@plt>
   0x000000000040d1c5 <+48207>:	lea    rdi,[rip+0x4f88]        # 0x412154
   0x000000000040d1cc <+48214>:	call   0x401190 <puts@plt>
   0x000000000040d1d1 <+48219>:	lea    rdi,[rip+0x4e2c]        # 0x412004
   0x000000000040d1d8 <+48226>:	xor    esi,esi
   0x000000000040d1da <+48228>:	xor    eax,eax
   0x000000000040d1dc <+48230>:	call   0x401250 <open@plt>
   0x000000000040d1e1 <+48235>:	mov    edi,eax
   0x000000000040d1e3 <+48237>:	test   eax,eax
   0x000000000040d1e5 <+48239>:	jns    0x40d21b <win+48293>
   0x000000000040d1e7 <+48241>:	call   0x401180 <__errno_location@plt>
   0x000000000040d1ec <+48246>:	mov    edi,DWORD PTR [rax]
   0x000000000040d1ee <+48248>:	call   0x401280 <strerror@plt>
   0x000000000040d1f3 <+48253>:	lea    rsi,[rip+0x4e10]        # 0x41200a
   0x000000000040d1fa <+48260>:	mov    edi,0x1
   0x000000000040d1ff <+48265>:	mov    rdx,rax
   0x000000000040d202 <+48268>:	xor    eax,eax
   0x000000000040d204 <+48270>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d209 <+48275>:	call   0x4011e0 <geteuid@plt>
   0x000000000040d20e <+48280>:	test   eax,eax
   0x000000000040d210 <+48282>:	je     0x4015d9 <win+99>
   0x000000000040d216 <+48288>:	jmp    0x4015c1 <win+75>
   0x000000000040d21b <+48293>:	mov    edx,0x100
   0x000000000040d220 <+48298>:	mov    rsi,rbp
   0x000000000040d223 <+48301>:	call   0x401200 <read@plt>
   0x000000000040d228 <+48306>:	test   eax,eax
   0x000000000040d22a <+48308>:	jg     0x40d256 <win+48352>
   0x000000000040d22c <+48310>:	call   0x401180 <__errno_location@plt>
   0x000000000040d231 <+48315>:	mov    edi,DWORD PTR [rax]
   0x000000000040d233 <+48317>:	call   0x401280 <strerror@plt>
   0x000000000040d238 <+48322>:	mov    edi,0x1
   0x000000000040d23d <+48327>:	lea    rsi,[rip+0x4e65]        # 0x4120a9
   0x000000000040d244 <+48334>:	mov    rdx,rax
   0x000000000040d247 <+48337>:	xor    eax,eax
   0x000000000040d249 <+48339>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d24e <+48344>:	or     edi,0xffffffff
   0x000000000040d251 <+48347>:	call   0x401260 <exit@plt>
   0x000000000040d256 <+48352>:	mov    rbp,rsp
   0x000000000040d259 <+48355>:	movsxd rdx,eax
   0x000000000040d25c <+48358>:	mov    edi,0x1
   0x000000000040d261 <+48363>:	mov    rsi,rbp
   0x000000000040d264 <+48366>:	call   0x4011a0 <write@plt>
   0x000000000040d269 <+48371>:	lea    rdi,[rip+0x4ee4]        # 0x412154
   0x000000000040d270 <+48378>:	call   0x401190 <puts@plt>
   0x000000000040d275 <+48383>:	lea    rdi,[rip+0x4d88]        # 0x412004
   0x000000000040d27c <+48390>:	xor    esi,esi
   0x000000000040d27e <+48392>:	xor    eax,eax
   0x000000000040d280 <+48394>:	call   0x401250 <open@plt>
   0x000000000040d285 <+48399>:	mov    edi,eax
   0x000000000040d287 <+48401>:	test   eax,eax
   0x000000000040d289 <+48403>:	jns    0x40d2bf <win+48457>
   0x000000000040d28b <+48405>:	call   0x401180 <__errno_location@plt>
   0x000000000040d290 <+48410>:	mov    edi,DWORD PTR [rax]
   0x000000000040d292 <+48412>:	call   0x401280 <strerror@plt>
   0x000000000040d297 <+48417>:	lea    rsi,[rip+0x4d6c]        # 0x41200a
   0x000000000040d29e <+48424>:	mov    edi,0x1
   0x000000000040d2a3 <+48429>:	mov    rdx,rax
   0x000000000040d2a6 <+48432>:	xor    eax,eax
   0x000000000040d2a8 <+48434>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d2ad <+48439>:	call   0x4011e0 <geteuid@plt>
   0x000000000040d2b2 <+48444>:	test   eax,eax
   0x000000000040d2b4 <+48446>:	je     0x4015d9 <win+99>
   0x000000000040d2ba <+48452>:	jmp    0x4015c1 <win+75>
   0x000000000040d2bf <+48457>:	mov    edx,0x100
   0x000000000040d2c4 <+48462>:	mov    rsi,rbp
   0x000000000040d2c7 <+48465>:	call   0x401200 <read@plt>
   0x000000000040d2cc <+48470>:	test   eax,eax
   0x000000000040d2ce <+48472>:	jg     0x40d2fa <win+48516>
   0x000000000040d2d0 <+48474>:	call   0x401180 <__errno_location@plt>
   0x000000000040d2d5 <+48479>:	mov    edi,DWORD PTR [rax]
   0x000000000040d2d7 <+48481>:	call   0x401280 <strerror@plt>
   0x000000000040d2dc <+48486>:	mov    edi,0x1
   0x000000000040d2e1 <+48491>:	lea    rsi,[rip+0x4dc1]        # 0x4120a9
   0x000000000040d2e8 <+48498>:	mov    rdx,rax
   0x000000000040d2eb <+48501>:	xor    eax,eax
   0x000000000040d2ed <+48503>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d2f2 <+48508>:	or     edi,0xffffffff
   0x000000000040d2f5 <+48511>:	call   0x401260 <exit@plt>
   0x000000000040d2fa <+48516>:	movsxd rdx,eax
   0x000000000040d2fd <+48519>:	mov    rsi,rbp
   0x000000000040d300 <+48522>:	mov    edi,0x1
   0x000000000040d305 <+48527>:	call   0x4011a0 <write@plt>
   0x000000000040d30a <+48532>:	lea    rdi,[rip+0x4e43]        # 0x412154
   0x000000000040d311 <+48539>:	call   0x401190 <puts@plt>
   0x000000000040d316 <+48544>:	lea    rdi,[rip+0x4ce7]        # 0x412004
   0x000000000040d31d <+48551>:	xor    esi,esi
   0x000000000040d31f <+48553>:	xor    eax,eax
   0x000000000040d321 <+48555>:	call   0x401250 <open@plt>
   0x000000000040d326 <+48560>:	mov    edi,eax
   0x000000000040d328 <+48562>:	test   eax,eax
   0x000000000040d32a <+48564>:	jns    0x40d360 <win+48618>
   0x000000000040d32c <+48566>:	call   0x401180 <__errno_location@plt>
   0x000000000040d331 <+48571>:	mov    edi,DWORD PTR [rax]
   0x000000000040d333 <+48573>:	call   0x401280 <strerror@plt>
   0x000000000040d338 <+48578>:	lea    rsi,[rip+0x4ccb]        # 0x41200a
   0x000000000040d33f <+48585>:	mov    edi,0x1
   0x000000000040d344 <+48590>:	mov    rdx,rax
   0x000000000040d347 <+48593>:	xor    eax,eax
   0x000000000040d349 <+48595>:	call   0x401230 <__printf_chk@plt>
   0x000000000040d34e <+48600>:	call   0x4011e0 <geteuid@plt>
   0x000000000040d353 <+48605>:	test   eax,eax
   0x000000000040d355 <+48607>:	je     0x4015d9 <win+99>
   0x000000000040d35b <+48613>:	jmp    0x4015c1 <win+75>
   0x000000000040d360 <+48618>:	mov    edx,0x100
   0x000000000040d365 <+48623>:	mov    rsi,rbp
   0x000000000040d368 <+48626>:	call   0x401200 <read@plt>
   0x000000000040d36d <+48631>:	test   eax,eax
   0x000000000040d36f <+48633>:	jg     0x40d39b <win+48677>
   0x000000000040d371 <+48635>:	call   0x401180 <__errno_location@plt>
   0x000000000040d376 <+48640>:	mov    edi,DWORD PTR [rax]
   0x000000000040d378 <+48642>:	call   0x401280 <strerror@plt>
   0x000000000040d37d <+48647>:	mov    edi,0x1
   0x000000000040d382 <+48652>:	lea    rsi,[rip+0x4d20]        # 0x4120a9
   0x000000000040d389 <+48659>:	mov    rdx,rax
   0x000000000040d38c <+48662>:	xor    eax,eax
   0x000000000040d38e <+48664>:	call   0x401230 <__printf_chk@plt>
